,Unnamed: 0,3.6216,8.6661,-2.8073,-0.44699,0
0,0,4.5459,8.1674,-2.4586,-1.4621,0
1,1,3.866,-2.6383,1.9242,0.10645,0
2,2,3.4566,9.5228,-4.0112,-3.5944,0
3,3,0.32924000000000003,-4.4552,4.5718,-0.9888,0
4,4,4.3684,9.6718,-3.9606,-3.1625,0
5,5,3.5912,3.0129,0.72888,0.56421,0
6,6,2.0922,-6.81,8.4636,-0.60216,0
7,7,3.2032,5.7588,-0.75345,-0.61251,0
8,8,1.5356,9.1772,-2.2718,-0.73535,0
9,9,1.2247,8.7779,-2.2135,-0.80647,0
10,10,3.9899,-2.7066,2.3946,0.8629100000000001,0
11,11,1.8993,7.6625,0.15394000000000002,-3.1108,0
12,12,-1.5768,10.843,2.5462,-2.9362,0
13,13,3.404,8.7261,-2.9915,-0.5724199999999999,0
14,14,4.6765,-3.3895,3.4896,1.4771,0
15,15,2.6719,3.0646,0.37158,0.58619,0
16,16,0.80355,2.8473,4.3439,0.6017,0
17,17,1.4479,-4.8794,8.3428,-2.1086,0
18,18,5.2423,11.0272,-4.353,-4.1013,0
19,19,5.7867,7.8902,-2.6196,-0.48708,0
20,20,0.3292,-4.4552,4.5718,-0.9888,0
21,21,3.9362,10.1622,-3.8235,-4.0172,0
22,22,0.93584,8.8855,-1.6831,-1.6599,0
23,23,4.4338,9.887,-4.6795,-3.7483,0
24,24,0.7057,-5.4981,8.3368,-2.8715,0
25,25,1.1432,-3.7413,5.5777,-0.63578,0
26,26,-0.38214,8.3909,2.1624,-3.7405,0
27,27,6.5633,9.8187,-4.4113,-3.2258,0
28,28,4.8906,-3.3584,3.4202,1.0905,0
29,29,-0.24811,-0.17797000000000002,4.9068,0.15429,0
30,30,1.4884,3.6274,3.3080000000000003,0.48921,0
31,31,4.2969,7.617000000000001,-2.3874,-0.96164,0
32,32,-0.96511,9.4111,1.7305,-4.8629,0
33,33,-1.6162,0.80908,8.1628,0.60817,0
34,34,2.4391,6.4417,-0.80743,-0.69139,0
35,35,2.6881,6.0195,-0.4664100000000001,-0.6926800000000001,0
36,36,3.6289,0.8132199999999999,1.6277,0.77627,0
37,37,4.5679,3.1929,-2.1055,0.29653,0
38,38,3.4805,9.7008,-3.7541,-3.4379,0
39,39,4.1711,8.722000000000001,-3.0224,-0.5969899999999999,0
40,40,-0.2062,9.2207,-3.7044,-6.8103,0
41,41,-0.006891899999999999,9.2931,-0.41243,-1.9638,0
42,42,0.96441,5.8395,2.3235,0.066365,0
43,43,2.8561,6.9176,-0.79372,0.48403,0
44,44,-0.7869,9.5663,-3.7867,-7.5034,0
45,45,2.0843,6.6258,0.48382,-2.2134,0
46,46,-0.7869,9.5663,-3.7867,-7.5034,0
47,47,3.9102,6.065,-2.4534,-0.68234,0
48,48,1.6349,3.286,2.8753,0.08705399999999999,0
49,49,4.3239,-4.8835,3.4356,-0.5776,0
50,50,5.2620000000000005,3.9834,-1.5572,1.0103,0
51,51,3.1452,5.825,-0.51439,-1.4944,0
52,52,2.549,6.1499,-1.1605,-1.2371,0
53,53,4.9264,5.496,-2.4774,-0.50648,0
54,54,4.8265,0.80287,1.6371,1.1875,0
55,55,2.5635,6.7769,-0.61979,0.38576,0
56,56,5.807,5.0097,-2.2384,0.43878,0
57,57,3.1377,-4.1096,4.5701,0.98963,0
58,58,-0.78289,11.3603,-0.37644,-7.0495,0
59,59,2.888,0.44696,4.5907,-0.24398000000000006,0
60,60,0.49665,5.527,1.7785,-0.47156,0
61,61,4.2586,11.2962,-4.0943,-4.3457,0
62,62,1.7939,-1.1174,1.5454,-0.26079,0
63,63,5.4021,3.1039,-1.1536,1.5651,0
64,64,2.5367,2.599,2.0938,0.20085,0
65,65,4.6054,-4.0765,2.7587,0.31981,0
66,66,2.4235,9.5332,-3.0789,-2.7746,0
67,67,1.0009,7.7846,-0.28219,-2.6608,0
68,68,0.12326,8.9848,-0.9351,-2.4332,0
69,69,3.9529,-2.3548,2.3792,0.48274,0
70,70,4.1373,0.49248,1.093,1.8276,0
71,71,4.7181,10.0153,-3.9486,-3.8582,0
72,72,4.1654,-3.4495,3.643,1.0879,0
